Flow ID,Vessel,Vessel IMO,Load Country,Load Port,Departure Date,Discharge Country,Discharge Port,Arrival Date,Product,Grade,Volume,Unit,Load Country/Sub-Country,Load Region,Load State,Load Berth,Load Zone,Load Date From,Discharge Country/Sub-Country,Discharge Region,Discharge State,Discharge Berth,Discharge Zone,Arrival Date To,Buyer/Receiver,Issuer,Sender,Awardee,Consignee,Charterer,Buy/Sell,Price,Price Basis,Vessel Ric,Freight,Benchmark,Closing Date,Validity Date,Contract Basis,Terms,Import/Export,Status,Source Grade,Country of Origin,Last Updated
2785891,BADR,9356426,Russian Federation,Novorossiysk,04.06.17,Greece,Agioi Theodoroi,08.06.17,Crude Oil,Urals,580305.35,BARRELS,Krasnodar,"Europe, Middle East, Africa",Southern Federal District,Novorossiysk-Sheskaris Oil Terminal- Berth 1A,"Russia, FSU",03.06.17,Greece,"Europe, Middle East, Africa",,MOH Terminal - Pier A (Agioi Theodoroi),"Mediterranean, North Africa",09.06.17,,,,,,URSA,,,,C}KA7309492479,w107.5,,,,,,,Vessel Discharged,,Russian Federation,10.06.17
2785292,SEAMAGIC,9317949,Russian Federation,Novorossiysk,29.05.17,Greece,Agioi Theodoroi,06.06.17,Crude Oil,CPC Blend,617950.00,BARRELS,Krasnodar,"Europe, Middle East, Africa",Southern Federal District,Novorossiysk - CPC-R Marine Terminal Berth 2,"Russia, FSU",28.05.17,Greece,"Europe, Middle East, Africa",,MOH Terminal - Pier A (Agioi Theodoroi),"Mediterranean, North Africa",06.06.17,,,,,,KMG,,,,C}KA7309489217,w108.5,,,,,,,Vessel Discharged,,Kazakhstan,06.06.17
2768860,KRITI BREEZE,9116943,Iran,Kharg Island,15.05.17,Greece,Agioi Theodoroi,01.06.17,Crude Oil,Iranian Light/Heavy,1029000.00,BARRELS,Iran,"Europe, Middle East, Africa",,Kharg Island East Pier- 5,Middle East,14.05.17,Greece,"Europe, Middle East, Africa",,MOH Terminal - Pier A (Agioi Theodoroi),"Mediterranean, North Africa",01.06.17,,,,,,AVIN OIL,,,,C}KS7309473863,,,,,,,,Vessel Discharged,,Iran,04.06.17
2754748,KRITI ISLAND,9185528,Iraq,Basrah,11.05.17,Greece,Agioi Theodoroi,24.05.17,Crude Oil,Basrah Light,1003089.09,BARRELS,Iraq,"Europe, Middle East, Africa",,Basrah Oil Terminal (BOT) Berths 1-4,Middle East,09.05.17,Greece,"Europe, Middle East, Africa",,,"Mediterranean, North Africa",,,,,,,AVIN OIL,,,,C}KS7309479012,,,,,,,,Vessel Discharged,,Iraq,25.05.17
2767582,KAMARI,9123075,Egypt,Sidi Kerir,14.05.17,Greece,Agioi Theodoroi,17.05.17,Crude Oil,Crude Oil,943800.00,BARRELS,Egypt,"Europe, Middle East, Africa",,SBM 6 (Sidi Kerir),"Mediterranean, North Africa",13.05.17,Greece,"Europe, Middle East, Africa",,MOH Terminal - Pier A (Agioi Theodoroi),"Mediterranean, North Africa",17.05.17,,,,,,AVIN OIL,,,,C}KS7309474293,,,,,,,,Vessel Discharged,,,25.05.17
2740331,SEA VINE,9266877,Russian Federation,Novorossiysk,28.04.17,Greece,Agioi Theodoroi,09.05.17,Crude Oil,Urals,580305.35,BARRELS,Krasnodar,"Europe, Middle East, Africa",Southern Federal District,Novorossiysk-Sheskaris Oil Terminal- Berth 1A,"Russia, FSU",28.04.17,Greece,"Europe, Middle East, Africa",,MOH Terminal - Pier A (Agioi Theodoroi),"Mediterranean, North Africa",10.05.17,,,,,,CNR,,,,C}KA7309485115,w102.5,,,,,,,Vessel Discharged,,Russian Federation,10.05.17
2748825,AFRODITI,9452880,Iraq,Basrah,21.04.17,Greece,Agioi Theodoroi,07.05.17,Crude Oil,Basrah Heavy,965753.27,BARRELS,Iraq,"Europe, Middle East, Africa",,Basrah Oil Terminal - SPM No. 3,Middle East,20.04.17,Greece,"Europe, Middle East, Africa",,MOH Terminal - Pier A (Agioi Theodoroi),"Mediterranean, North Africa",07.05.17,,,,,,AVIN OIL,,,,C}KS7309500780,w42.5,,,,,,,Vessel Discharged,,Iraq,07.05.17
2740319,KAMARI,9123075,Iraq,Basrah,13.04.17,Greece,Agioi Theodoroi,03.05.17,Crude Oil,Basrah Light,1003089.09,BARRELS,Iraq,"Europe, Middle East, Africa",,Basrah Oil Terminal (BOT) Berths 1-4,Middle East,11.04.17,Greece,"Europe, Middle East, Africa",,MOH Terminal - Pier A (Agioi Theodoroi),"Mediterranean, North Africa",03.05.17,,,,,,AVIN OIL,,,,C}KS7309474293,,,,,,,,Vessel Discharged,,Iraq,03.05.17
2741954,LONDON SPIRIT,9594779,Egypt,Sidi Kerir,15.04.17,Greece,Agioi Theodoroi,19.04.17,Crude Oil,Crude Oil,980100.00,BARRELS,Egypt,"Europe, Middle East, Africa",,SBM 1 (Sidi Kerir),"Mediterranean, North Africa",14.04.17,Greece,"Europe, Middle East, Africa",,,"Mediterranean, North Africa",20.04.17,,,,,,AVIN OIL,,,,C}KS7309523975,w85,,,,,,,Vessel Discharged,,,24.04.17
2735658,VALTAMED,9292840,Turkey,Ceyhan,06.04.17,Greece,Agioi Theodoroi,14.04.17,Crude Oil,Azeri BTC,914536.47,BARRELS,Turkey,"Europe, Middle East, Africa",,,"Mediterranean, North Africa",06.04.17,Greece,"Europe, Middle East, Africa",,MOH Terminal - Pier A (Agioi Theodoroi),"Mediterranean, North Africa",15.04.17,,,,,,,,,,C}KS7309487070,,,,,,,,Vessel Discharged,,Azerbaijan,28.04.17
